Lubartów,lubartowski,lubelskie,"13,91",22 654,1629
Lubawa,iławski,warmińsko-mazurskie,"16,84",10 059,597
Lubawka,kamiennogórski,dolnośląskie,"22,44",6396,285
Lubień Kujawski,włocławski,kujawsko-pomorskie,"2,31",1398,605
Lubin,lubiński,dolnośląskie,"40,77",74 669,1831
Lublin,Lublin[1],lubelskie,"147,47",347 678,2358
Lubliniec,lubliniecki,śląskie,"89,36",24 394,273
Lubniewice,sulęciński,lubuskie,"12,11",2064,170
Lubomierz,lwówecki,dolnośląskie,"8,05",2009,250
Luboń,poznański,wielkopolskie,"13,51",30 297,2243
Lubraniec,włocławski,kujawsko-pomorskie,"1,97",3159,1604
Lubsko,żarski,lubuskie,"12,51",14 646,1171
Lwówek,nowotomyski,wielkopolskie,"3,16",3052,966
Lwówek Śląski,lwówecki,dolnośląskie,"16,65",9338,561
Łabiszyn,żniński,kujawsko-pomorskie,"2,89",4544,1572
Łańcut,łańcucki,podkarpackie,"19,42",18 143,934
Łapy,białostocki,podlaskie,"12,14",16 124,1328
Łasin,grudziądzki,kujawsko-pomorskie,"4,79",3405,711
Łask,łaski,łódzkie,"15,67",18 202,1162
Łaskarzew,garwoliński,mazowieckie,"15,35",4929,321
Łaszczów,tomaszowski,lubelskie,"5,01",2203,440
Łaziska Górne,mikołowski,śląskie,"20,07",22 467,1119
Łazy,zawierciański,śląskie,"8,60",7089,824
Łeba,lęborski,pomorskie,"14,81",3864,261
Łęczna,łęczyński,lubelskie,"19,00",20 317,1069
Łęczyca,łęczycki,łódzkie,"8,95",14 905,1665
Łęknica,żarski,lubuskie,"16,43",2602,158
Łobez,łobeski,zachodniopomorskie,"12,84",10 549,822
Łobżenica,pilski,wielkopolskie,"3,25",3054,940
Łochów,węgrowski,mazowieckie,"13,39",6748,504
Łomianki,warszawski zachodni,mazowieckie,"8,40",16 600,1976
Łomża,Łomża[1],podlaskie,"32,67",62 812,1923
Łosice,łosicki,mazowieckie,"23,74",7120,300
Łowicz,łowicki,łódzkie,"23,42",29 640,1266
Łódź,Łódź[1],łódzkie,"293,25",718 960,2452
Łuków,łukowski,lubelskie,"35,75",30 827,862
Maków Mazowiecki,makowski,mazowieckie,"10,28",10 211,993
Maków Podhalański,suski,małopolskie,"20,12",6046,300
Malbork,malborski,pomorskie,"17,16",39 252,2287
Małogoszcz,jędrzejowski,świętokrzyskie,"9,68",3975,411
Małomice,żagański,lubuskie,"5,37",3621,674
Margonin,chodzieski,wielkopolskie,"5,15",3028,588
Marki,wołomiński,mazowieckie,"26,15",28 288,1082
Maszewo,goleniowski,zachodniopomorskie,"5,54",3336,602
Miasteczko Śląskie,tarnogórski,śląskie,"67,83",7494,110
Miastko,bytowski,pomorskie,"5,68",11 051,1946
Michałowo,białostocki,podlaskie,"2,15",3221,1498
Miechów,miechowski,małopolskie,"15,49",11 845,765
Miejska Górka,rawicki,wielkopolskie,"3,14",3239,1032
Mielec,mielecki,podkarpackie,"46,89",61 238,1306
Mieroszów,wałbrzyski,dolnośląskie,"10,31",4328,420
Mieszkowice,gryfiński,zachodniopomorskie,"4,73",3609,763
Międzybórz,oleśnicki,dolnośląskie,"6,41",2377,371
Międzychód,międzychodzki,wielkopolskie,"6,98",10 913,1563
Międzylesie,kłodzki,dolnośląskie,"14,37",2749,191
Międzyrzec Podlaski,bialski,lubelskie,"20,03",17 223,860
Międzyrzecz,międzyrzecki,lubuskie,"10,26",18 610,1814
Międzyzdroje,kamieński,zachodniopomorskie,"4,50",5561,1236
Mikołajki,mrągowski,warmińsko-mazurskie,"8,85",3911,442
Mikołów,mikołowski,śląskie,"79,21",39 597,500
Mikstat,ostrzeszowski,wielkopolskie,"2,52",1911,758
Milanówek,grodziski,mazowieckie,"13,44",16 387,1219
Milicz,milicki,dolnośląskie,"13,50",11 874,880
Miłakowo,ostródzki,warmińsko-mazurskie,"8,76",2675,305
Miłomłyn,ostródzki,warmińsko-mazurskie,"12,38",2417,195
Miłosław,wrzesiński,wielkopolskie,"4,07",3627,891
